# seed_fakty.tsv — wiedza startowa Reysona: podmiot <TAB> relacja <TAB> obiekt
# Formy są znormalizowane (małe litery, bez diakrytyków); Reyson sam dopasuje odmiany.
# --- drabina istnienia (podstawa wnioskowania) ---
internet	powstal	z sieci arpanet
python	jest	jezyk programowania
programista	pisze	programy
algorytm	jest	przepisem na rozwiazanie problemu
robot	jest	maszyna wykonujaca zadania
sztuczna inteligencja	jest	dziedzina informatyki
sztuczna inteligencja	buduje	systemy ktore sie ucza
reyson	jest	system sztucznej inteligencji
reyson	mieszka	w tym programie
reyson	mowi	po polsku
reyson	umie	sie uczyc
# --- codzienność i kultura ---
pierogi	jest	potrawa
pierogi	jest	daniem polskim
bigos	jest	daniem polskim
zurek	jest	zupa
chleb	jest	podstawowym jedzeniem
herbata	jest	napoj
kawa	jest	napoj
pilka nozna	jest	sport
plywanie	jest	sport
szachy	jest	gra
warcaby	jest	gra
ksiazka	jest	zrodlo wiedzy
biblioteka	jest	miejsce z ksiazkami
szkola	jest	miejsce nauki
muzyka	jest	sztuka
malarstwo	jest	sztuka
rzezba	jest	sztuka
film	jest	sztuka
teatr	jest	sztuka
wawel	jest	zamek w krakowie
# --- programowanie (RM-2) ---
python	to	jezyk programowania
javascript	to	jezyk programowania
jezyk programowania	to	jezyk formalny
algorytm	to	przepis na rozwiazanie problemu
program	to	ciag instrukcji
zmienna	to	pojemnik na dane
funkcja	to	nazwany blok kodu
petla	to	instrukcja powtarzajaca kod
lista	uporzadkowany	zbior elementow
slownik	zbior(par)	klucz wartosc
komentarz	to	tekst pomijany przez interpreter
